"","sentiment","sentiment_confidence","text","sentiment_numeric","hasEmoji","hasEmoticon","hasUrl","hasMention","hasHashtag"
"36","positive",0.6554,"@USAirways thanks :) ",1,FALSE,TRUE,FALSE,TRUE,FALSE
"37","negative",0.6651,"@SouthwestAir luxury  Only 40 people on this flight  I'm going to get spoiled ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"38","negative",0.6684,"@AmericanAir right on cue with the delays👌",-1,TRUE,FALSE,FALSE,TRUE,FALSE
"39","positive",0.6721,"@AmericanAir it's always nice coming home but I wish you'd fly LAX MAD and keep me away from Iberia 😜✈️ #GoingForGreat",1,TRUE,FALSE,FALSE,TRUE,TRUE
"40","negative",1,"@united MIA EWR #384 😄😄😄 excellent crew  EWR IAD #3589 😡😡😡 No crew to load bags   waiting w  door open freezing  20 mins past departure ",-1,TRUE,FALSE,FALSE,TRUE,TRUE
"41","negative",1,"@USAirways why no ground crew at DCA when we're already Late Flight arriving #evenLate Flightr",-1,FALSE,FALSE,FALSE,TRUE,TRUE
"42","negative",0.6697,"@USAirways I love how just to give feedback to this link I have to fill out all my personal info on a form  You guys are the best :) ",-1,FALSE,TRUE,FALSE,TRUE,FALSE
"43","positive",0.7007,"@JetBlue no  but we're on the flight leaving from Boston to Seattle right now  :)  flight 597",1,FALSE,TRUE,FALSE,TRUE,FALSE
"44","positive",0.7172,"@SouthwestAir I love imagine dragons o flipping much  pls #DestinationDragons",1,FALSE,FALSE,FALSE,TRUE,TRUE
"45","positive",0.6815,"@JetBlue Thank you for the JetBlue Credit  Nice save :-) ",1,FALSE,TRUE,FALSE,TRUE,FALSE
"46","positive",1,"@AmericanAir Aww Thanks AA DFW was on GMA up here this AM so i understand  Btw A A is my Airline when im able to trv Love you guys ",1,FALSE,TRUE,FALSE,TRUE,FALSE
"47","negative",1,"@VirginAmerica why can't we book seats on your flights when we buy them or even during check in  Creates so much anxiety  #frustrated",-1,FALSE,FALSE,FALSE,TRUE,TRUE
"48","neutral",0.6863," @VirginAmerica You've met your ",0,TRUE,FALSE,TRUE,TRUE,FALSE
"49","negative",1,"@united thank you for dishonoring my upgrade and putting me in a seat I didn't want  all while not even notifying me  Great 1K service 👎",-1,TRUE,FALSE,FALSE,TRUE,FALSE
"50","positive",1,"@united thank you  😊",1,TRUE,FALSE,FALSE,TRUE,FALSE
"51","negative",1,"@AmericanAir sounding like they just got bitch slapped by @juliasinton948",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"52","positive",0.6959,"chair #selfie  @JetBlue  @StacyCrossB6 @PHLAirport @SaharaSams Everyone looks #FLAWLESS ;)  We're so PROUD of our PHL crew  #BlueHeros ",1,FALSE,TRUE,FALSE,TRUE,TRUE
"53","neutral",0.6735,"@JetBlue I understand delays  We are all looking at a tv monitor at ur gate and it says current conditions are snow  hence delay ",0,FALSE,FALSE,FALSE,TRUE,FALSE
"54","positive",0.3373,"@JetBlue Crisis averted  Flight #69 from BOS to FLL is boarding  Let's hope the new pilots aren't Clarence Oveur and Roger Murdock  :-) ",1,FALSE,TRUE,FALSE,TRUE,TRUE
"55","positive",0.6485,"@JetBlue I would love for you to fly my best friend home to PVD for a weekend  😊 ",1,TRUE,FALSE,TRUE,TRUE,FALSE
"56","negative",1,"@USAirways flight 1898 landed over 2 hours ago and they still haven't gotten to the gate  What's the hold uppp 😭😭 #imtired #wannagohome",-1,TRUE,FALSE,FALSE,TRUE,TRUE
"57","negative",1,"@VirginAmerica Very poor experience  First computer problem now seat malfunction  Stuck  Missing meeting in San Diego ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"58","positive",1,"@USAirways @AmericanAir @SVLLINDIA provides you the best logistics experience for people all over India  #Mumbai #Surat #NaviMumbai",1,FALSE,FALSE,FALSE,TRUE,TRUE
"59","neutral",0.6765,"@USAirways just realized my @AmericanAir advantage number wasn't used for my flight  How do I get my ff miles ",0,FALSE,FALSE,FALSE,TRUE,FALSE
"60","positive",0.6723,"@AmericanAir I wish I could remember all of their names ",1,FALSE,FALSE,FALSE,TRUE,FALSE
"61","positive",1,"@USAirways she also appreciated having her very own hashtag  :)  #lucycat",1,FALSE,TRUE,FALSE,TRUE,TRUE
"62","negative",0.6953,"@AmericanAir yeah  buy me a @Delta plane ticket from San Diego to Detroit so I can fly one of their planes home tomorrow",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"63","negative",1,"@JetBlue Highlight of my travel is 3 hour delay and de icing twice  Now sitting in bumper to bumper traffic in taxi to finally get home  😒",-1,TRUE,FALSE,FALSE,TRUE,FALSE
"64","negative",1,"@united why do you hire POS pilots  Thanks for ruining my trip and not allowing me to see my buddy as he turns 30  #unitedsucksdick",-1,FALSE,FALSE,FALSE,TRUE,TRUE
"65","positive",0.6533,"@JetBlue #ClosePWCS please just tweet this🙏🙏❤️ I fly jetblue every time btw😏",1,TRUE,FALSE,FALSE,TRUE,TRUE
"66","negative",0.6442,"@JetBlue  fights air ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"67","negative",1,"@united 3 phone reps  None could see I was rebooked so missed that ",-1,FALSE,FALSE,TRUE,TRUE,FALSE
"68","negative",1,"@united  we're stuck at OGG  looks like flight will be Cancelled Flightled  Can you help  = ",-1,FALSE,TRUE,FALSE,TRUE,FALSE
"69","negative",1,"@united I'm 0 3 for Flight Booking Problems without major problems  0  isn't bad 👎👎",-1,TRUE,FALSE,FALSE,TRUE,FALSE
"70","neutral",0.6632,"@JetBlue Airways Receives New Coverage from Analysts at Bank of America  JBLU    The Legacy ",0,FALSE,FALSE,TRUE,TRUE,FALSE
"71","positive",1,"@SouthwestAir LOVE your TV ad with the girl dancing  Makes me laugh every time  AND now I want to take a trip  :-) ",1,FALSE,TRUE,FALSE,TRUE,FALSE
"72","negative",1,"@USAirways you are the actual worst  You have zero respect for your passengers  I'm officially done flying with you ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"73","negative",1,"@JetBlue 1242 now  I may cry ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"74","negative",0.6661,"@united well that's big of you but I don't have terribly high expectations at this point ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"75","positive",1,"@united be  Chicago's hometown airline  care about your neighbors #SaveTheDiagonals #FlyQuiet #ORDNoise",1,FALSE,FALSE,FALSE,TRUE,TRUE
"76","positive",1,"@SouthwestAir Thank you  I can't wait either :) ",1,FALSE,TRUE,FALSE,TRUE,FALSE
"77","negative",1,"@VirginAmerica requested window seat and confirmed window but got stuck in middle seat  Not a good way to treat silver member😒",-1,TRUE,FALSE,FALSE,TRUE,FALSE
"78","negative",1,"@united I just sent an email to Customer Care  telling them I may have to break up with you 😢  I sincerely hope they can help me ",-1,TRUE,FALSE,FALSE,TRUE,FALSE
"79","negative",1,"@AmericanAir rebooked into a different airport  Throwing a wrench into plans 👀",-1,TRUE,FALSE,FALSE,TRUE,FALSE
"80","positive",1,"@JetBlue flight attendant Wendi on Flt 127 on 2 17  Newark to Orlando  👍👍",1,TRUE,FALSE,FALSE,TRUE,FALSE
"81","negative",1,"@united is the airline of the Oscars but doesn't carry ABC on Direct TV  Fail   now I can't watch the Oscars  #united",-1,FALSE,FALSE,FALSE,TRUE,TRUE
"82","negative",1,"@united thanks for the 2hr delay and then no ground crew when we landed  At least you didn't break my ",-1,FALSE,FALSE,TRUE,TRUE,FALSE
"83","neutral",0.633,"@JetBlue Hopefully next time  Can I send you my future itineraries so the next one can be planned when I'm there  😂😂",0,TRUE,FALSE,FALSE,TRUE,FALSE
"84","positive",1,"@SouthwestAir Glad to know I'll be flying the luv airline tomorrow ;) ",1,FALSE,TRUE,FALSE,TRUE,FALSE
"85","neutral",1,"@SouthwestAir my sister amp brother in law need to get to Florida desperately flying w  @USAirways is there anything you can do ",0,FALSE,FALSE,FALSE,TRUE,FALSE
"86","positive",1,"@united Yes   :D   Y  From @therealaviation on Instagram :) ",1,FALSE,TRUE,FALSE,TRUE,FALSE
"87","neutral",1,"@USAirways I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours  🙏",0,TRUE,FALSE,FALSE,TRUE,FALSE
"88","negative",1,"@United DO NOT FLY UNITED WITH CHECKED BAGGAGE  It will never find you ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"89","neutral",0.6535,"@JetBlue That's right  :)  Game  set  match ",0,FALSE,TRUE,FALSE,TRUE,FALSE
"90","neutral",0.6461,"@JetBlue yes Party is Over 😂",0,TRUE,FALSE,FALSE,TRUE,FALSE
"91","neutral",0.6942,"@VirginAmerica can you please have flights in SJC   I have no choice but to fly Southwest to Vegas 😩😭",0,TRUE,FALSE,FALSE,TRUE,FALSE
"92","neutral",1,"@SouthwestAir Pres CEO Gary Kelly at #TheRoFo addressing 2000 of his BWI based employees  @cbsbaltimore ",0,FALSE,FALSE,TRUE,TRUE,TRUE
"93","negative",1,"@VirginAmerica Applied for Status Match on Feb 1  Got confirmation email same day  Still no news though  You guys have dropped ball Late Flightly 😥",-1,TRUE,FALSE,FALSE,TRUE,FALSE
"94","positive",1,"@AmericanAir I love travel with yours planes  all people is very nice  it's amazing  Can you please follow me back  😋I love the company ",1,TRUE,FALSE,FALSE,TRUE,FALSE
"95","positive",1,"@SouthwestAir it's not fun having a delay from Nashville to Las Vegas  but the crew at the gate C9 desk has been AWESOME  #patience #luvswa",1,FALSE,FALSE,FALSE,TRUE,TRUE
"96","positive",1,"@SouthwestAir never lets me down ",1,FALSE,FALSE,FALSE,TRUE,FALSE
"97","positive",1,"@united Thanks  LOL  #UA6259 will wait for us  Per @flightaware  same tail number as #UA5525 :) ",1,FALSE,TRUE,FALSE,TRUE,TRUE
"98","negative",1,"@united I missed it  Set up in a hotel  Flights delayed in SFO for 6+ hours  Missing all the wedding festivities of my friend  😞",-1,TRUE,FALSE,FALSE,TRUE,FALSE
"99","negative",1,"@SouthwestAir very poor customer service thru out each of my cxl flights😔 I should've flew @Delta",-1,TRUE,FALSE,FALSE,TRUE,FALSE
"100","negative",0.6421,"@united I appreciate the immediate offer  but suspect it is more long term issue not simple fix  Also  ski bootbag policy is awkward at best",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"101","negative",1,"@united We've let you know how to help the millions of customers you've treated like garbage  It's no coincidence ur ranked WORST airline ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"102","positive",0.7052,"@JetBlue if I tell you I like that @warriors pick  will that get me that bump to first class  :) ",1,FALSE,TRUE,FALSE,TRUE,FALSE
"103","negative",1,"@AmericanAir @ emmaclifford No  At JFK you sort of have to guess things out  It's a small airport  so whatever ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"104","negative",0.6957,"@SouthwestAir y airline I fly with  but haven't seen anything like this yet ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"105","positive",0.6551,"@JetBlue thanks great recap  I wouldn't have been able to sleep  I was nervous the bad guy was getting away  😉",1,TRUE,FALSE,FALSE,TRUE,FALSE
"106","negative",1,"@united found a group of people who actually hates people more than ISIS  thats right United Airlines ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"107","positive",1,"@JetBlue thanks so much  Can't wait to fly with you guys :) ",1,FALSE,TRUE,FALSE,TRUE,FALSE
"108","positive",1,"@JetBlue Thanks for the quick reply  Just wanted to make sure it wasn't just my account :) ",1,FALSE,TRUE,FALSE,TRUE,FALSE
"109","negative",1,"@USAirways I've been standing on a very crowded bus for the past 30 mins for DCA PIT  HELP  @AmericanAir ",-1,FALSE,FALSE,TRUE,TRUE,FALSE
"110","positive",0.6702,"@AmericanAir thanks  They did not charge anything in the end so all is good ",1,FALSE,FALSE,FALSE,TRUE,FALSE
"111","positive",1,"@united She met me from customer service at the arrival of flight UA3787 PVD IAD  Thanks  you guys have really handled this storm ",1,FALSE,FALSE,FALSE,TRUE,FALSE
"112","neutral",0.6526,"@JetBlue Get me out of this 7 degree weather here we go  #westpalmbeachbound 🌞✈️👸",0,TRUE,FALSE,FALSE,TRUE,TRUE
"113","positive",0.7053,"Thanks  Hope I don't look like a complainer  I've written of good experiences w you in the past and am making do in terminal 5 :)  @JetBlue",1,FALSE,TRUE,FALSE,TRUE,FALSE
"114","negative",1,"@USAirways I really feel like your company needs evaluate their policies  amp  realize that transfers should be possible for tickets",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"115","negative",1,"@SouthwestAir that's gotta be a new record  4 hrs in the air  11 hrs waiting and 0 bags delivered to destination ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"116","neutral",1,"STAHP  😂😂😭😭😭😭 RT @JetBlue Our fleet's on fleek  ",0,TRUE,FALSE,TRUE,TRUE,FALSE
"117","negative",1,"@SouthwestAir our flight is delayed till tomorrow curse the weather",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"118","negative",1,"@SouthwestAir Every flight flown by me personally about two round trips per month  is FULL  Still hard to believe  Fly 8 hours thru ATL NO",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"119","neutral",0.6601,"@VirginAmerica is that #thestarter 😁",0,TRUE,FALSE,FALSE,TRUE,TRUE
"120","negative",1,"@USAirways not Cancelled Flightling #837 because you don't want to put us in a hotel for night is our guess",-1,FALSE,FALSE,FALSE,TRUE,TRUE
"121","negative",1,"@united flight Cancelled Flightled  and the updated one gets me into BWI too Late Flight  I'd be fine with DCA or IAD  just arriving earlier  Help ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"122","positive",0.6904,"@united OMG THANK U😻😻😻",1,TRUE,FALSE,FALSE,TRUE,FALSE
"123","positive",0.68,"@JetBlue ugh always know a way to my heart 😘🙌",1,TRUE,FALSE,FALSE,TRUE,FALSE
"124","positive",1,"@AmericanAir These are some awesome photos  Thanks for sharing  😁",1,TRUE,FALSE,FALSE,TRUE,FALSE
"125","negative",1,"@USAirways You suck  Do you even know the meaning of contingency plan ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"126","negative",1,"@AmericanAir is terrible  my flights Cancelled Flighted and i've been on hold for the past 4 hours  Never again ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"127","negative",0.6522,"@SouthwestAir Had to pay a $25 fare difference on a change but can't seem to find the receipt for it  How can I get a copy for reimbursement",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"128","positive",1,"@SouthwestAir best airline 👌",1,TRUE,FALSE,FALSE,TRUE,FALSE
"129","positive",1,"@SouthwestAir @FortuneMagazine Love SW forever😃💕😍⤴⤴",1,TRUE,FALSE,FALSE,TRUE,FALSE
"130","negative",1,"@USAirways   @AmericanAir are incompetent ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"131","negative",1,"@united A measly $50 e certificate is not how you appreciate loyal customers after they wait 3hrs on the tarmac during UA1116  #unacceptable",-1,FALSE,FALSE,FALSE,TRUE,TRUE
"132","neutral",0.6632," @JetBlue  Our fleet's on fleek  ",0,TRUE,FALSE,TRUE,TRUE,FALSE
"133","positive",1,"@JetBlue Love you guys😍😍😍 ",1,TRUE,FALSE,TRUE,TRUE,FALSE
"134","positive",0.6889,"@united appreciate the sentiment and you were able to get me off the ground still missed connection",1,FALSE,FALSE,FALSE,TRUE,FALSE
"135","positive",0.6869,"@JetBlue they miraculously fixed the plane #kudos to shoe ever it was",1,FALSE,FALSE,FALSE,TRUE,TRUE
"136","neutral",1,"@SouthwestAir sent DM",0,FALSE,FALSE,FALSE,TRUE,FALSE
"137","neutral",0.6354,"@VirginAmerica momma I made it  😁😁😁",0,TRUE,FALSE,FALSE,TRUE,FALSE
"138","positive",1,"Thank you  @united  @TRUU Tall I can certainly take a look  Please follow and DM me your confirmation number for assistance  ^JH ",1,FALSE,FALSE,FALSE,TRUE,FALSE
"139","positive",1,"@united thanks for more timely updates ",1,FALSE,FALSE,FALSE,TRUE,FALSE
"140","positive",0.6468,"@JetBlue you're welcome 👍👍👍 ",1,TRUE,FALSE,TRUE,TRUE,FALSE
"141","neutral",0.6755,"@AmericanAir 3659 from SGF  gt  DFW  You might want to clear off the ice for the planes landing  😳",0,TRUE,FALSE,FALSE,TRUE,FALSE
"142","negative",1,"@AmericanAir I waited on hold for two hours  only to have my call  Really unreliable ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"143","negative",0.691,"@usairways   thanks for the 5+ hour flight from PIT to PHX with zero entertainment  Guess why I have a quarter million + miles on Delta",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"144","neutral",1,"@JetBlue Can I bring a compact folding chair like this in a checked bag  ",0,FALSE,FALSE,TRUE,TRUE,FALSE
"145","positive",1,"@SouthwestAir had a great LA flight with Clarence and Frank  Those 2 guys are a hoot  😜😂 thanks",1,TRUE,FALSE,FALSE,TRUE,FALSE
"146","negative",0.7118,"RT @JetBlue  Our fleet's on fleek  ",-1,TRUE,FALSE,TRUE,TRUE,FALSE
"147","negative",1,"@USAirways cust serv reps who are unable to change reservations in your system Check in unaware of Cancelled Flights that I got word on night before",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"148","negative",1,"@united yes  We waited in line for almost an hour to do so  Some passengers just left not wanting to wait past 1am ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"149","positive",0.6753,"@united landing in anchorage  then on our way to fairbanks  ",1,FALSE,FALSE,TRUE,TRUE,FALSE
"150","positive",1,"@USAirways YOU ARE AMAZING  YOU ARE THE BEST  FOLLOW ME PLEASE 🙏🙏🙏😢😢😢🙏🙏🙏",1,TRUE,FALSE,FALSE,TRUE,FALSE
"151","negative",0.6998,"@SouthwestAir used to exclusively fly SW  but Late Flightly  direct flights  amp  cheaper costs have me switched  😔 why so  few direct flights ",-1,TRUE,FALSE,FALSE,TRUE,FALSE
"152","positive",1,"@USAirways I will  Thank you for at least tweeting me back:)  better than most  👌",1,TRUE,TRUE,FALSE,TRUE,FALSE
"153","negative",1,"@JetBlue Cancelled Flighted 😢",-1,TRUE,FALSE,FALSE,TRUE,FALSE
"154","positive",0.6806,"@United my home for the next 8 5 hrs  777 GFC  :)  ",1,FALSE,TRUE,TRUE,TRUE,FALSE
"155","negative",0.7102,"Why  😒 RT @JetBlue Our fleet's on fleek  ",-1,TRUE,FALSE,TRUE,TRUE,FALSE
"156","negative",1,"@JetBlue the big board says we aren't leaving until after 8 30 😩",-1,TRUE,FALSE,FALSE,TRUE,FALSE
"157","negative",1,"@SouthwestAir @CBSsoxfan you get to hold  called twice only to be kicked ",-1,FALSE,FALSE,TRUE,TRUE,TRUE
"158","negative",0.6307,"@VirginAmerica Can I get some help with a support ticket  It's been 15 days  Incident  150202 000419 Thank you ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"159","negative",1,"@USAirways @AmericanAir 2hrs Late Flightr finally taking off😂😂😂",-1,TRUE,FALSE,FALSE,TRUE,FALSE
"160","negative",1,"@SouthwestAir poor performance all around  Paid for Express checkin weeks ago and can't even leverage it #bullshit",-1,FALSE,FALSE,FALSE,TRUE,TRUE
"161","positive",1,"@JetBlue Haha  Thanks  You guys are great  Unlike the @nyjets  ;-)  #GoPatriots ",1,FALSE,TRUE,FALSE,TRUE,TRUE
"162","negative",1,"@AmericanAir WORST SERVICE EVER  Delayed flights for more than 5 hours plus you missed my bag  And your employees are rude 😡😡",-1,TRUE,FALSE,FALSE,TRUE,FALSE
"163","neutral",0.6559,"@SouthwestAir Tried to DM you  it won't let me as it says you are not following me ",0,FALSE,FALSE,FALSE,TRUE,FALSE
"164","negative",1,"@united Flt 4487 is having some MAJOR delays bc ground crew was so SLOW  The flight crew has been terrific  Been 2 hours on the ground 😡 ",-1,TRUE,FALSE,FALSE,TRUE,FALSE
"165","negative",1,"@USAirways the link doesn't work ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"166","negative",1,"@AmericanAir why is does it seem to be impossible to contact anyone at your airline to get an item left on board a plane 5 min after deplane",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"167","negative",1,"@JetBlue what's the hold up with flight 1553  boarding should've taken place 30 minutes ago ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"168","negative",1,"@AmericanAir It's been 3 weeks and no reply from customer relations yet  Running out of time  please help  request  1 2888155964 thanks",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"169","negative",1,"@united What a really GREAT  amp  FLATTERING story about you  You should be very proud :)  ",-1,FALSE,TRUE,TRUE,TRUE,FALSE
"170","negative",1,"@USAirways u guys get too much $$$ and too many customers to be fucking up as badly as u do",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"171","positive",1,"@SouthwestAir iPhone app now has passbook support  Whoot  It's the little things in life  😜",1,TRUE,FALSE,FALSE,TRUE,FALSE
"172","positive",0.689,"@JetBlue There's just so many choices for y'all south of the border and I know not every airline is equal   lowest price  = best value  ;) ",1,FALSE,TRUE,FALSE,TRUE,FALSE
"173","neutral",1," @JetBlue  Our fleet's on fleek  ",0,TRUE,FALSE,TRUE,TRUE,FALSE
"174","neutral",1,"😐  @JetBlue  Our fleet's on fleek  ",0,TRUE,FALSE,TRUE,TRUE,FALSE
"175","negative",1,"@JetBlue I now learned that customer service at SXM works for the airport  not JetBlue  They need a supervisor to do anything ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"176","neutral",1,"@USAirways I have submitted my request  I would appreciate a call by 9am eastern  Thank you ",0,FALSE,FALSE,FALSE,TRUE,FALSE
"177","neutral",1,"@SouthwestAir I would love a great deal from bwi to las Memorial Day weekend aka my bday weekend 😬",0,TRUE,FALSE,FALSE,TRUE,FALSE
"178","negative",1,"@SouthwestAir can't believe how many paying customers you left high and dry with no reason for flight Cancelled Flightlations Monday out of BDL  Wow ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"179","negative",1,"@united crew has been notified  passenger moved but water not fixed  Now on tarmac two hours",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"180","negative",1,"@united I usually like flying with you guys but $200 fee to use my credit seems ridiculous #notcool #exhorbitantfees",-1,FALSE,FALSE,FALSE,TRUE,TRUE
"181","negative",0.6458,"@USAirways Flight Booking Problems a flight using credit from a previously Cancelled Flightled flight  Can't get thru on the phone and can't book online  Help please ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
"182","positive",1,"@VirginAmerica thank you for checking in  tickets are purchased and customer is happy ;-) ",1,FALSE,TRUE,FALSE,TRUE,FALSE
"183","negative",1,"@united how do I get my account number if your website says email is unavailable ",-1,FALSE,FALSE,FALSE,TRUE,FALSE
